viReference,viCodeInsee,viCodePostal,viVille,viLambertX,viLambertY
5746,17082,17500,Champagnac,435735,6485720
5747,17083,17620,Champagne,395807,6533147
5748,17084,17240,Champagnolles,416712,6497681
5749,17085,17430,Champdolent,405592,6542675
5750,17086,17610,Chaniers,423950,6519586
5751,17087,17380,Chantemerle-sur-la-soie,417513,6548782
5752,17089,17100,La Chapelle-des-pots,425752,6525063
5753,17090,17130,Chardes,435165,6472406
5754,17091,17230,Charron,384445,6583762
5755,17092,17130,Chartuzac,432177,6475869
5756,17093,17480,Le Château-d'oléron,374512,6542027
5757,17094,17340,Châtelaillon-plage,384778,6560392
5758,17095,17210,Chatenet,441429,6472141
5759,17096,17130,Chaunac,436279,6480139
5760,17099,17210,Chepniers,441197,6466593
5761,17100,17610,Chérac,433178,6516954
5762,17101,17470,Cherbonnières,440670,6546644
5763,17102,17460,Chermignac,414419,6515575
5764,17103,17380,Chervettes,414010,6556727
5765,17104,17210,Chevanceaux,446911,6471914
5766,17105,17510,Chives,458377,6543695
5767,17106,17520,Cierzac,441123,6502165
5768,17107,17290,Ciré-d'aunis,396247,6557586
5769,17108,17500,Clam,430654,6494833
5770,17109,17220,Clavette,389749,6566809
5771,17110,17270,Clérac,447151,6458566
5772,17111,17240,Clion,426654,6492786
5773,17112,17600,La Clisse,406908,6521488
5774,17113,17360,La Clotte,452379,6451686
5775,17114,17330,Coivert,433418,6558072
5776,17115,17460,Colombiers,423600,6511820
5777,17116,17150,Consac,418546,6486480
5778,17117,17470,Contré,446316,6551964
5779,17118,17130,Corignac,434927,6466858
5780,17119,17600,Corme-ecluse,400152,6510696
5781,17120,17600,Corme-royal,403131,6523893
5782,17121,17670,La Couarde-sur-mer,360884,6576134
5783,17124,17330,Courant,423951,6554046
5784,17126,17160,Courcerac,438459,6531177
5785,17127,17170,Courçon,405816,6579353
5786,17128,17100,Courcoury,421618,6519691
5787,17129,17130,Courpignac,427481,6476075
5788,17130,17130,Coux,432129,6474760
5789,17131,17120,Cozes,401439,6505074
5790,17132,17170,Cramchaban,413355,6575658
5791,17133,17260,Cravans,411670,6506809
5792,17134,17350,Crazannes,412970,6534542
5793,17135,17160,Cressé,450501,6540677
5794,17136,17220,Croix-chapeau,391122,6563403
5795,17137,17330,La Croix-comtesse,431151,6559283
5796,17138,17470,Dampierre-sur-boutonne,437279,6557904
5797,17139,17330,Doeuil-sur-le-mignon,427489,6563892
5798,17141,17610,Dompierre-sur-charente,429291,6517124
5799,17142,17139,Dompierre-sur-mer,386180,6572552
5800,17143,17100,Le Douhet,422897,6530749
5801,17144,17770,Ébéon,433998,6535815
5802,17145,17800,Echebrune,431042,6503709
5803,17146,17620,Echillais,393870,6541027
5804,17147,17770,Ecoyeux,428327,6530506
5805,17148,17810,Ecurat,414935,6526668
5806,17149,17510,Les Eduts,450773,6547335
5807,17150,17400,Les Eglises-d'argenteuil,434480,6546910
5808,17151,17600,L' Eguille,390427,6518962
5809,17152,17120,Epargnes,403616,6501633
5810,17153,17137,Esnandes,385811,6580355
5811,17154,17250,Les Essards,407279,6529252
5812,17155,17750,Etaules,381275,6522766
5813,17156,17130,Expiremont,436043,6474591
5814,17157,17350,Fenioux,420975,6539730
5815,17158,17170,Ferrières,403400,6577247
5816,17159,17800,Fléac-sur-seugne,424561,6498437
5817,17160,17120,Floirac,407144,6493682
5818,17161,17630,La Flotte,366152,6573618
5819,17162,17510,Fontaine-chalendray,453733,6543880
